티커,종가,시가총액,거래량,거래대금,상장주식수
005930,59500,352218456359000,18072251,1074365743369,5919637922
000660,257000,187096607805000,3597877,916063762030,728002365
207940,1016000,72312784000000,124199,126049856000,71174000
373220,305000,71370000000000,498474,150158929750,234000000
012450,938000,44363836538000,419837,395285915500,47296201
005380,210000,42999130860000,662635,138499017000,204757766
035420,269500,42698773656000,4889308,1276142062750,158437008
105560,106500,40625713969500,3095365,330586466919,381462103
005935,48700,39737966136800,1657819,80764959400,815974664
329180,443000,39326490388000,336843,147931401750,88773116
000270,98700,39250288778400,998377,98407943900,397672632
034020,60200,38561780989200,10039131,599305886800,640561146
068270,162200,36077490387600,958664,155724894650,222425958
035720,66600,29421648966600,16754279,1065026260200,441766501
055550,59300,29403434454500,3768399,224193241050,495842065
028260,161900,27519202473600,807457,130816607850,169976544
042660,88600,27148226708400,2973226,265260792850,306413394
012330,291500,26758269901000,274485,80109451750,91795094
009540,375500,26575305058000,410812,153978692500,70773116
032830,127200,25440000000000,616237,77764750400,200000000
011200,23000,23575908408000,2803690,64140532800,1025039496
064350,212000,23138166116000,2063225,436758518500,109142293
086790,80000,22777911120000,2087425,166873674500,284723889
005490,262500,21244899900000,495939,129879488750,80932952
402340,155500,20610103419000,634568,98701186600,132540858
000810,428500,19715779917500,98501,42214831750,46011155
138040,106400,19153539927200,1060045,112744911300,180014473
015760,29100,18681154640700,3602448,104252131975,641964077
259960,358000,16965146008000,511726,183528249750,47388676
267260,470000,16942153450000,160125,75198850750,36047135
010130,816000,16893878928000,161186,131631590000,20703283
316140,21350,15854328546350,4291456,90999125625,742591501
096770,102400,15465961062400,598998,61166331450,151034776
033780,125500,15318843373500,619936,77805301850,122062497
323410,32050,15287511455850,11125353,346730917400,476989437
051910,211500,14930280544500,389198,81854813250,70592343
010140,16870,14845600000000,13125958,220482723580,880000000
034730,196700,14261281680100,755854,147738302700,72502703
006400,176300,14207228939000,934905,162700968250,80585530
024110,17290,13787493275010,1986981,34322121990,797425869
079550,609000,13398000000000,218715,133296075500,22000000
018260,172000,13308981600000,500243,84650489150,77377800
030200,51800,13054723283000,293355,15288847877,252021685
352820,307000,12787193779000,257752,78656912500,41652097
272210,65500,12374219979500,2584433,169466662650,188919389
003550,77500,12186965287500,392040,30200314300,157251165
066570,74000,12109938236000,529685,39068352750,163647814
017670,56300,12092679983900,910847,51226978200,214790053
006800,19530,11138279448240,6243941,122467590675,570316408
377300,79600,10721855887200,6866762,480447653250,134696682
086280,136700,10252500000000,341590,46453197600,75000000
267250,128800,10174309348000,290679,37506236750,78993085
003670,129200,10008248024000,556842,72045586600,77463220
000150,605000,9996920175000,151131,90686571500,16523835
009150,133300,9956669676800,455163,60618161500,74693696
003230,1307000,9845650605000,36632,47458623500,7533015
443060,207500,9302061075000,219251,45410511250,44829210
047810,94900,9250387654300,823678,78564155000,97475107
042700,93000,8864034600000,1220200,113157786100,95312200
180640,130800,8732506093200,166784,21847865050,66762279
064400,89400,8661603751200,1053066,90959129500,96885948
047050,49100,8637808890800,480454,23692932650,175922788
090430,145500,8510696434500,1441367,207590174550,58492759
005830,120200,8510160000000,233918,27969918150,70800000
000720,75300,8385089104500,1704580,128917373400,111355765
000100,104200,8332711135400,622724,65158568200,79968437
010120,275500,8265000000000,162538,45018558750,30000000
003490,21550,7935155244550,1798764,38669826725,368220661
298040,827000,7711401196000,140652,116737864000,9324548
010620,185000,7389297565000,335085,62155372050,39942149
071050,131900,7350258344800,413415,53953403900,55725992
326030,92900,7275300925000,262289,24346378000,78313250
021240,97800,7032713207400,389988,38125647964,71909133
000880,93400,7001145849000,455183,42700586400,74958735
010950,61500,6923841708000,417862,25673314050,112582792
005940,19170,6212734466850,655199,12554883615,324086305
016360,67700,6045610000000,441221,29753026450,89300000
032640,13220,5772002192420,1322332,17550168420,436611361
088980,11980,5737485476140,1323298,15819422680,478921993
006260,177000,5699400000000,209804,37109440150,32200000
005387,161800,5657163874000,117182,18843806800,34963930
029780,48300,5595984435300,318470,15391789125,115858891
009830,32150,5526345032400,1929082,61791493275,171892536
051900,348500,5442941654500,93700,32670210750,15618197
278470,139800,5290598889000,410881,57188857650,37844055
039490,213500,5246375424500,283153,59962999250,24573187
251270,60500,5200186871000,389210,23482545700,85953502
241560,52200,5003686593000,165614,8623360350,95856065
161390,39300,4868290211700,690119,27122375225,123875069
001040,158900,4636224982200,286055,44859787750,29176998
307950,168700,4626425763400,106304,17776283950,27423982
034220,9220,4610000000000,1621235,14910673960,500000000
028050,22400,4390400000000,1259075,28301032389,196000000
078930,46400,4311273539200,214381,9916758075,92915378
052690,111300,4253886000000,2025008,224823761650,38220000
271560,107200,4238273350400,183992,19682910950,39536132
011790,111600,4226102056800,496667,54958437100,37868298
036570,190400,4101981788800,232899,44236658400,21544022
175330,21100,4091458209200,1789154,37863509400,193907972
302440,51300,4020337138500,1233346,62086177025,78369145
004020,29000,3869927765000,382525,11111243000,133445785
128940,302000,3868919282000,95339,28642486250,12810991
035250,18040,3859486620000,742374,13391582095,213940500
138930,11790,3753741689010,1576402,18569323435,318383519
005385,160400,3743889984000,96952,15464290450,23340960
022100,24100,3664036968900,841891,20236835125,152034729
097950,243000,3658167198000,56371,13627710750,15054186
103140,126500,3545071167000,1152634,148175669900,28024278
011070,149700,3542965917900,130392,19420824250,23667107
036460,38150,3521740950000,345126,13108698475,92313000
007660,46450,3409858222550,980902,45797971800,73409219
454910,52500,3403048950000,513312,26894262600,64819980
017800,85200,3330671202000,282068,24027557600,39092385
192820,279500,3172187765500,210908,57835475250,11349509
450080,44150,3087516519600,1636626,71574014450,69932424
001440,16530,3081973869000,8150431,135919444105,186447300
383220,79300,3037751047500,135723,10780859100,38307075
462870,51200,3009624064000,329800,16765718850,58781720
011780,113000,2989933331000,103268,11719540650,26459587
008930,43200,2954514960000,392412,17054259925,68391550
004990,27700,2905985864900,308876,8534018700,104909237
031210,41200,2876649837600,154822,6348981075,69821598
088350,3250,2822722500000,4456176,14472123284,868530000
002380,314000,2790351894000,34187,10719043500,8886471
026960,27050,2696885000000,94805,2579282950,99700000
011170,62200,2660631061800,172345,10738285000,42775419
111770,59900,2654256933200,61009,3645641650,44311468
051600,57700,2596500000000,1178206,69396570450,45000000
012750,67600,2568744432800,70605,4786721050,37999178
002790,31900,2534715942000,612575,19270210400,79458180
489790,49650,2506748563500,1215009,60862432250,50488390
062040,82000,2496506400000,531435,43685445450,30445200
082740,29750,2482552474500,1178905,35159947050,83447142
042670,12690,2443980196080,4643777,58603348630,192591032
004370,394500,2399602269000,23272,9173688000,6082642
139480,84700,2337365869300,299103,25337195100,27595819
030000,20300,2335336867500,289383,5910763925,115041225
001450,25700,2297580000000,575813,14861318825,89400000
018670,244000,2255839536000,63696,15189410500,9245244
282330,125000,2160488250000,80363,9985818950,17283906
012510,70800,2151101107200,334445,23393287850,30382784
161890,90300,2131538453100,249185,22541866350,23605077
018880,3140,2131314413280,1059715,3313572258,678762552
023530,75000,2121656625000,77273,5802916850,28288755
028670,3910,2090166791920,1492070,5830099771,534569512
000990,47050,2088953565400,173077,8083747700,44398588
483650,172500,2086545337500,251274,44007497450,12095915
000120,90700,2069079600800,221613,19971984700,22812344
081660,33850,2034244150150,921732,31241375825,60095839
008770,51700,2029127855700,305683,15715931300,39248121
112610,48100,2028444484300,446929,21276632475,42171403
020560,9730,2004289618030,302075,2931044025,205990711
006040,49650,1967335770600,79622,3956556450,39624084
139130,11780,1960107572740,667262,7831131040,166392833
001720,118700,1951428000000,53239,6201371550,16440000
003690,9990,1946262099690,370747,3703855680,194821031
003570,56900,1892078459300,81180,4607169200,33252697
006360,21850,1869955556500,636317,13893877225,85581490
361610,26150,1864432030800,511160,13298852900,71297592
066970,51100,1855756491400,575019,29321859625,36316174
014680,162900,1846503265500,87428,14079567100,11335195
069620,158100,1831837507500,45869,7278456050,11586575
004170,187300,1806542401300,58503,10958410250,9645181
000240,18920,1796174740800,215813,4085611675,94935240
375500,46400,1795384107200,709388,33206855450,38693623
009970,132000,1781899284000,35210,4634718850,13499237
071970,52500,1780878487500,444552,23307335200,33921495
047040,4255,1768474324690,2223374,9529367204,415622638
