티커,BPS,PER,PBR,EPS,DIV,DPS
095570,9902,8.22,0.4,485,6.78,270
006840,40295,0.0,0.29,0,3.38,400
027410,18202,4.45,0.24,963,3.03,130
282330,68546,11.06,1.82,11301,3.28,4100
138930,33604,5.42,0.35,2174,5.51,650
001460,66074,17.12,0.57,2205,0.93,350
001465,0,0.0,0.0,0,1.66,355
001040,162804,53.09,0.98,2993,1.89,3000
079160,4177,0.0,1.27,0,0.0,0
00104K,0,0.0,0.0,0,2.33,3050
000120,197983,7.5,0.46,12088,0.88,800
011150,2315,22.05,1.32,139,0.0,0
011155,0,0.0,0.0,0,0.0,0
001045,0,0.0,0.0,0,3.65,3050
097950,490755,26.29,0.5,9244,2.47,6000
097955,0,0.0,0.0,0,4.1,6050
000480,14790,0.0,0.37,0,7.47,410
000590,305543,2.98,0.29,29452,0.57,500
012030,2060,2.98,0.7,486,0.0,0
005830,154832,3.9,0.78,30838,5.66,6800
016610,25569,6.66,0.32,1233,4.87,400
000990,47181,8.52,1.0,5520,2.61,1230
000300,426,0.35,4.66,5650,0.0,0
001530,27850,500.0,1.4,78,0.64,250
015590,535,51.5,0.96,10,0.0,0
000210,181662,10.83,0.24,3948,2.34,1000
000215,0,0.0,0.0,0,4.5,1050
375500,114139,8.57,0.41,5413,1.16,540
37550L,0,0.0,0.0,0,1.7,540
37550K,0,0.0,0.0,0,2.68,590
007340,33645,3.46,0.64,6222,4.64,1000
004840,20777,10.31,0.24,491,1.98,100
155660,14456,4.43,0.28,907,1.74,70
069730,11477,0.0,0.33,0,2.64,100
017860,15941,0.0,1.67,0,0.0,0
092780,10894,6.82,0.42,672,1.74,80
017940,287645,7.14,0.27,10873,4.45,3450
383220,41565,8.34,1.91,9504,2.14,1700
007700,56520,6.28,0.3,2738,2.62,450
114090,6686,28.26,2.26,534,1.87,282
078930,148685,7.75,0.31,5988,5.82,2700
006360,51998,7.55,0.42,2893,1.37,300
001250,6449,4.08,0.42,657,0.93,25
007070,38375,679.6,0.44,25,2.94,500
078935,0,0.0,0.0,0,6.49,2750
499790,42282,0.0,0.83,0,0.0,0
012630,52784,7.75,0.43,2903,1.56,350
039570,11586,11.65,0.83,826,4.68,450
089470,12861,5.6,0.31,709,3.53,140
294870,48537,10.01,0.5,2427,2.88,700
009540,156961,22.65,2.39,16578,1.36,5100
267250,122761,17.88,1.05,7203,2.8,3600
267270,93865,13.57,0.81,5595,0.66,500
443060,17402,39.12,11.92,5304,1.52,3150
071970,9120,21.35,5.76,2459,0.0,0
010620,51353,69.92,3.6,2646,0.38,710
322000,33007,4530.0,1.37,10,0.0,0
042670,9602,22.82,1.32,556,0.55,70
267260,41725,33.73,11.26,13935,1.14,5350
329180,64259,63.28,6.89,7001,0.47,2090
097230,4125,116.09,1.8,64,0.0,0
014790,10129,10.52,0.27,258,0.0,0
003580,1888,0.0,1.62,0,0.0,0
204320,53635,12.16,0.63,2767,2.08,700
060980,113030,19.91,0.37,2087,4.81,2000
