종목명,종목코드,시가총액
삼성전자,005930,350442564982400
SK하이닉스,000660,179088581790000
삼성바이오로직스,207940,71102826000000
LG에너지솔루션,373220,68094000000000
한화에어로스페이스,012450,44174651734000
현대차,005380,42384857562000
KB금융,105560,40702006390100
NAVER,035420,39926126016000
삼성전자우,005935,39574771204000
두산에너빌리티,034020,39074229906000
기아,000270,39051452462400
HD현대중공업,329180,38216826438000
셀트리온,068270,35632638471600
신한지주,055550,29453018661000
삼성물산,028260,28097122723200
한화오션,042660,27332074744800
현대모비스,012330,26895962542000
HD한국조선해양,009540,26823010964000
카카오,035720,26682696660400
삼성생명,032830,24900000000000
HMM,011200,23319648534000
현대로템,064350,23138166116000
하나금융지주,086790,22407770064300
POSCO홀딩스,005490,21042567520000
알테오젠,196170,20690942616000
삼성화재,000810,19692774340000
SK스퀘어,402340,19669063327200
메리츠금융지주,138040,19153539927200
한국전력,015760,18167583379100
고려아연,010130,17245834739000
크래프톤,259960,17083617698000
HD현대일렉트릭,267260,17050294855000
우리금융지주,316140,15483032795850
삼성중공업,010140,15347200000000
KT&G,033780,15331049623200
SK이노베이션,096770,15224305420800
LG화학,051910,14542022658000
SK,034730,13964020597800
기업은행,024110,13715724946800
삼성SDI,006400,13554486146000
카카오뱅크,323410,13403403179700
KT,030200,13079925451500
LIG넥스원,079550,13046000000000
삼성에스디에스,018260,13030421520000
한화시스템,272210,12959870085400
하이브,352820,12495629100000
LG전자,066570,11962655203400
SK텔레콤,017670,11877889930900
LG,003550,11841012724500
미래에셋증권,006800,11372109175520
HD현대,267250,10411288603000
두산,000150,10079539350000
현대글로비스,086280,9997500000000
포스코퓨처엠,003670,9744873076000
삼성전기,009150,9732588588800
삼양식품,003230,9649792215000
한국항공우주,047810,9484327911100
HD현대마린솔루션,443060,9279646470000
에코프로비엠,247540,8890142169600
한미반도체,042700,8816378500000
현대건설,000720,8730291976000
한진칼,180640,8719153637400
포스코인터내셔널,047050,8681789587800
LS ELECTRIC,010120,8325000000000
카카오페이,377300,8256906606600
DB손해보험,005830,8255280000000
유한양행,000100,8084808980700
LG씨엔에스,064400,7925270546400
대한항공,003490,7879922145400
효성중공업,298040,7869918512000
아모레퍼시픽,090430,7797084774700
