Ticker,Market,Close,PER,ROIC,ROE,6M_Return,Volatility,Sector,Score
018260.KQ,KR,18500.0,5.8,28.5,32.1,0.45,0.24,BioTech,89.8
326030.KQ,KR,15800.0,6.8,25.2,28.9,0.35,0.21,BioTech,80.88
900140.KQ,KR,28900.0,8.2,23.5,26.8,0.36,0.17,BioTech,77.41
373220.KQ,KR,38500.0,7.2,21.8,24.5,0.32,0.18,Technology,71.57
241560.KQ,KR,45200.0,9.5,20.8,23.5,0.38,0.19,Technology,66.76
207940.KQ,KR,28900.0,8.9,22.1,25.8,0.21,0.16,BioTech,66.49
AAPL,US,192.3,22.1,27.3,35.2,0.23,0.15,Technology,61.01
MSFT,US,415.26,28.5,31.2,38.7,0.28,0.18,Technology,60.4
357780.KQ,KR,62800.0,11.8,18.8,21.2,0.31,0.21,Technology,55.56
035720.KQ,KR,42500.0,11.2,18.2,21.8,0.29,0.19,Technology,53.13
