Ticker,Market,Close,PER,ROIC,ROE,6M_Return,Volatility,Sector,Score
068270.KQ,KR,158000.0,14.5,22.1,26.7,0.38,0.23,Technology,100.0
AAPL,US,192.3,22.1,27.3,35.2,0.23,0.15,Technology,97.44
CAT,US,348.15,16.8,22.1,28.9,0.31,0.26,Industrial,92.31
KO,US,63.42,25.1,31.2,42.8,0.11,0.16,Consumer,88.46
028260.KR,KR,89400.0,11.7,17.8,21.3,0.31,0.21,Consumer,87.18
HD,US,347.83,22.9,25.6,31.8,0.19,0.22,Consumer,87.18
035420.KQ,KR,48950.0,15.2,18.9,22.3,0.29,0.19,Technology,83.33
JNJ,US,162.25,15.8,18.9,24.6,0.08,0.12,Healthcare,80.77
MSFT,US,415.26,28.5,31.2,38.7,0.28,0.18,Technology,79.49
042700.KQ,KR,48750.0,21.3,20.5,24.8,0.34,0.26,Healthcare,79.49
