Ticker,Market,Close,PER,ROIC,ROE,6M_Return,Volatility,Sector,Score
018260.KQ,KR,18500.0,5.8,28.5,32.1,0.45,0.24,BioTech,74.51
MSFT,US,415.26,28.5,31.2,38.7,0.28,0.18,Technology,71.23
NFLX,US,647.53,34.9,18.7,28.1,0.51,0.38,Entertainment,64.41
AAPL,US,192.3,22.1,27.3,35.2,0.23,0.15,Technology,63.17
900140.KQ,KR,28900.0,8.2,23.5,26.8,0.36,0.17,BioTech,62.67
326030.KQ,KR,15800.0,6.8,25.2,28.9,0.35,0.21,BioTech,61.77
META,US,497.21,23.7,20.3,24.8,0.48,0.35,Technology,58.7
241560.KQ,KR,45200.0,9.5,20.8,23.5,0.38,0.19,Technology,58.39
373220.KQ,KR,38500.0,7.2,21.8,24.5,0.32,0.18,Technology,54.45
035420.KQ,KR,45800.0,15.8,18.5,22.3,0.31,0.22,Technology,47.22
